Sample in Buffer,Sample in Window,TRIGGER,design_1_i/compress_0_WC_TDATA[31:0],design_1_i/compress_0_WC_TVALID
298,298,0,11111111111111111111111111111111,1
299,299,0,11111111111111111111111111111111,1
300,300,0,00000000000000000000010001001100,1
301,301,0,11111111111111111111111111111111,1
302,302,0,11111111111111111111111111111111,1
303,303,0,11111111111111111111111111111111,1
304,304,0,00000000000000000000010001000000,1
305,305,0,11111111111111111111111111111111,1
306,306,0,11111111111111111111111111111111,1
307,307,0,11111111111111111111111111111111,1
308,308,0,00000000000000000000010001011100,1
309,309,0,11111111111111111111111111111111,1
310,310,0,11111111111111111111111111111111,1
311,311,0,11111111111111111111111111111111,1
312,312,0,00000000000000000000010001010000,1
313,313,0,11111111111111111111111111111111,1
314,314,0,11111111111111111111111111111111,1
315,315,0,11111111111111111111111111111111,1
316,316,0,00000000000000000000010001000100,1
317,317,0,11111111111111111111111111111111,1
318,318,0,11111111111111111111111111111111,1
319,319,0,11111111111111111111111111111111,1
320,320,0,00000000000000000000010001100000,1
321,321,0,11111111111111111111111111111111,1
322,322,0,11111111111111111111111111111111,1
323,323,0,11111111111111111111111111111111,1
324,324,0,00000000000000000000010001010100,1
325,325,0,11111111111111111111111111111111,1
326,326,0,11111111111111111111111111111111,1
327,327,0,11111111111111111111111111111111,1
328,328,0,11111111111111111111111111111111,1
329,329,0,00000000000000000000010001101100,1
330,330,0,11111111111111111111111111111111,1
331,331,0,11111111111111111111111111111111,1
332,332,0,11111111111111111111111111111111,1
333,333,0,00000000000000000000010001010111,1
334,334,0,11111111111111111111111111111111,1
335,335,0,11111111111111111111111111111111,1
336,336,0,11111111111111111111111111111111,1
337,337,0,00000000000000000000010001001011,1
338,338,0,11111111111111111111111111111111,1
339,339,0,11111111111111111111111111111111,1
340,340,0,11111111111111111111111111111111,1
341,341,0,00000000000000000000010000111111,1
342,342,0,11111111111111111111111111111111,1
343,343,0,11111111111111111111111111111111,1
344,344,0,11111111111111111111111111111111,1
345,345,0,00000000000000000000010001011011,1
346,346,0,11111111111111111111111111111111,1
347,347,0,11111111111111111111111111111111,1
348,348,0,11111111111111111111111111111111,1
349,349,0,00000000000000000000010001001111,1
350,350,0,11111111111111111111111111111111,1
351,351,0,11111111111111111111111111111111,1
352,352,0,11111111111111111111111111111111,1
353,353,0,00000000000000000000010001000011,1
354,354,0,11111111111111111111111111111111,1
355,355,0,11111111111111111111111111111111,1
356,356,0,11111111111111111111111111111111,1
357,357,0,00000000000000000000010001011111,1
358,358,0,11111111111111111111111111111111,1
359,359,0,11111111111111111111111111111111,1
360,360,0,11111111111111111111111111111111,1
361,361,0,00000000000000000000010001010011,1
362,362,0,11111111111111111111111111111111,1
363,363,0,11111111111111111111111111111111,1
364,364,0,11111111111111111111111111111111,1
